Time	Volt
0.0008518695831298828	47	
0.0027289390563964844	48	
0.003139019012451172	48	
0.003426074981689453	47	
0.0037381649017333984	48	
0.0038919448852539062	47	
0.00407099723815918	48	
0.004222869873046875	50	
0.0043981075286865234	49	
0.0045511722564697266	49	
0.004742145538330078	49	
0.0050029754638671875	49	
0.0051538944244384766	50	
0.0053539276123046875	50	
0.005530118942260742	51	
0.0057179927825927734	51	
0.005874156951904297	50	
0.006092071533203125	50	
0.006370067596435547	52	
0.006530046463012695	56	
0.006812095642089844	58	
0.006996870040893555	65	
0.007297992706298828	60	
0.00757288932800293	53	
0.007871866226196289	53	
0.008234024047851562	54	
0.008589029312133789	52	
0.00887298583984375	52	
0.009123086929321289	51	
0.009402036666870117	51	
0.009647130966186523	51	
0.009922981262207031	50	
0.010329961776733398	51	
0.010620832443237305	51	
0.010978937149047852	51	
0.011255025863647461	50	
0.011554956436157227	49	
0.011816978454589844	51	
0.012156963348388672	50	
0.012504100799560547	50	
0.012667179107666016	50	
0.012915849685668945	48	
0.0420989990234375	49	
0.0821080207824707	50	
0.12200808525085449	49	
0.16200017929077148	48	
0.20200705528259277	49	
0.2419300079345703	49	
0.2818758487701416	49	
0.3218700885772705	48	
0.3617730140686035	49	
0.4017760753631592	49	
0.4415149688720703	49	
0.48150014877319336	49	
0.5216128826141357	49	
0.5615930557250977	49	
0.6016199588775635	49	
0.6413490772247314	50	
0.6813499927520752	49	
0.7213249206542969	48	
0.7612111568450928	49	
0.8012409210205078	49	
0.8411991596221924	48	
0.8811459541320801	49	
0.9211549758911133	49	
0.9611361026763916	48	
1.0012519359588623	49	
1.0411319732666016	48	
1.0810248851776123	48	
1.1209111213684082	48	
1.1610019207000732	48	
1.2010700702667236	48	
1.2407631874084473	49	
1.2807810306549072	48	
1.3206419944763184	48	
1.360826015472412	49	
1.400804042816162	49	
1.4405269622802734	49	
1.480694055557251	50	
1.5206489562988281	49	
1.5603981018066406	49	
1.6003801822662354	50	
1.6403708457946777	49	
1.6802890300750732	50	
1.7202930450439453	49	
1.760286808013916	49	
1.8001430034637451	49	
1.84010910987854	49	
1.8801498413085938	49	
1.9200198650360107	50	
1.9632480144500732	49	
2.0009689331054688	49	
2.039914846420288	49	
2.079976797103882	50	
2.119922161102295	49	
2.1598780155181885	48	
2.199759006500244	47	
2.2399590015411377	49	
2.279794931411743	49	
2.319922924041748	52	
2.364804983139038	55	
2.399580955505371	59	
2.4398930072784424	62	
2.479559898376465	64	
2.519489049911499	68	
2.561509132385254	76	
2.5993809700012207	81	
2.639591932296753	92	
2.6794118881225586	111	
2.7209131717681885	128	
2.759222984313965	138	
2.7992639541625977	148	
2.839164972305298	157	
2.8792381286621094	166	
2.9225339889526367	179	
2.966978073120117	197	
2.9990408420562744	219	
3.039093017578125	243	
3.079413890838623	272	
3.1208701133728027	288	
3.1599390506744385	301	
3.198793888092041	304	
3.2389729022979736	307	
3.285123109817505	310	
3.322326898574829	313	
3.3602380752563477	316	
3.3987598419189453	323	
3.4385359287261963	324	
3.484938859939575	326	
3.518455982208252	326	
3.558439016342163	325	
3.5984461307525635	326	
3.638392925262451	325	
3.6782660484313965	325	
3.71824312210083	325	
3.7582321166992188	325	
3.798140048980713	325	
3.838120937347412	325	
3.87813401222229	325	
3.9180378913879395	325	
3.958014965057373	325	
3.997979164123535	326	
4.037879943847656	326	
4.07785701751709	326	
4.1178460121154785	326	
4.1579859256744385	324	
4.197741985321045	322	
4.237803936004639	317	
4.277692794799805	314	
4.317868947982788	308	
4.357542037963867	256	
4.397557973861694	192	
4.437720060348511	160	
4.477460861206055	123	
4.517583131790161	80	
4.557466983795166	56	
4.59736704826355	47	
4.638810157775879	45	
4.677353858947754	46	
4.717205047607422	46	
4.757234811782837	46	
4.797167062759399	45	
4.838776111602783	44	
4.877231121063232	45	
4.917287111282349	45	
4.957942008972168	45	
4.996914863586426	46	
5.036956071853638	45	
5.076798915863037	44	
5.117329835891724	44	
5.15687894821167	55	
5.199012041091919	102	
5.236943960189819	153	
5.276688098907471	211	
5.316638946533203	287	
5.356595993041992	302	
5.396679878234863	305	
5.437092065811157	307	
5.476483106613159	313	
5.516480922698975	320	
5.5564258098602295	323	
5.5966010093688965	325	
5.636335134506226	323	
5.676306962966919	326	
5.716266870498657	327	
5.756231069564819	326	
5.79865288734436	326	
5.836205959320068	327	
5.876114845275879	326	
5.916290044784546	326	
5.955997943878174	326	
5.996057033538818	327	
6.0359227657318115	325	
6.076148986816406	322	
6.1159210205078125	312	
6.15584397315979	304	
6.195765972137451	221	
6.235719203948975	157	
6.275660991668701	89	
6.315772771835327	50	
6.358443021774292	45	
6.395611047744751	45	
6.435537099838257	45	
6.475665807723999	46	
6.515494108200073	45	
6.55546498298645	46	
6.595649003982544	45	
6.635416030883789	45	
6.675367116928101	45	
6.715281963348389	45	
6.755549907684326	45	
6.795194149017334	44	
6.835228204727173	45	
6.875146865844727	45	
6.915036916732788	46	
6.9550089836120605	45	
6.995216131210327	45	
7.034927129745483	51	
7.079339981079102	77	
7.115495204925537	116	
7.154843091964722	152	
7.195194959640503	200	
7.234888792037964	276	
7.274738788604736	301	
7.314708948135376	304	
7.35463285446167	308	
7.394989013671875	315	
7.4348649978637695	321	
7.475039958953857	323	
7.514474868774414	325	
7.554959058761597	325	
7.594670057296753	326	
7.634458065032959	327	
7.6743857860565186	326	
7.7143189907073975	327	
7.7543017864227295	328	
7.794229984283447	329	
7.834160089492798	328	
7.874183177947998	328	
7.914121866226196	327	
7.95430588722229	324	
7.994235992431641	314	
8.039212942123413	287	
8.074864149093628	178	
8.113919973373413	105	
8.153825044631958	56	
8.193856000900269	47	
8.23397707939148	45	
8.273689985275269	46	
8.313659191131592	47	
8.3538179397583	46	
8.393617868423462	46	
8.435750007629395	46	
8.473471879959106	46	
8.513417959213257	46	
8.553404808044434	46	
8.593350172042847	46	
8.634513139724731	46	
8.67333698272705	45	
8.713328123092651	46	
8.753435134887695	46	
8.793177127838135	45	
8.833181858062744	46	
8.87333083152771	47	
8.913086891174316	45	
