Time	Volt
498	334
693	335
883	335
1076	335
1264	334
1452	334
1637	335
1806	334
1991	335
2173	334
2353	334
2457	334
2481	334
2505	335
2529	334
2553	334
2577	333
2601	334
2625	335
2649	335
2673	334
2697	334
2721	335
2745	335
2769	335
2793	335
2817	334
2841	334
2865	335
2889	334
2913	334
2937	334
2961	334
2985	334
3009	335
3033	334
3057	334
3081	334
3105	335
3129	334
3153	334
3177	334
3201	334
3225	334
3249	334
3273	334
3297	335
3321	334
3345	335
3369	334
3393	335
3421	334
3446	335
3471	334
3496	333
3521	335
3546	334
3571	335
3596	334
3621	334
3646	334
3671	334
3696	334
3721	335
3746	335
3771	334
3796	333
3821	334
3846	334
3871	334
3896	335
3921	334
3946	335
3971	334
3996	335
4021	334
4046	334
4071	334
4096	334
4121	334
4146	334
4171	335
4196	334
4221	335
4246	334
4271	335
4296	335
4321	334
4346	334
4371	334
4396	334
4421	335
4446	335
4471	334
4496	334
4521	335
4546	334
4571	334
4596	334
4621	334
4646	334
4671	335
4700	334
4725	334
4750	334
4775	333
4799	334
4824	333
4849	334
4874	333
4899	334
4923	333
4948	334
4973	334
4998	333
5023	334
5048	334
5073	333
5098	333
5123	334
5148	334
5173	334
5204	334
5229	333
5253	333
5277	333
5301	333
5326	332
5350	333
5375	333
5400	333
5425	334
5449	333
5474	333
5499	333
5524	334
5548	333
5573	333
5598	334
5623	334
5648	333
5673	334
5698	333
5723	333
5747	334
5772	333
5797	333
5822	334
5847	334
5872	334
5897	333
5922	333
5947	333
5976	333
6000	333
6025	333
6050	333
6075	334
6099	334
6123	334
6148	334
6173	334
6198	334
6222	333
6247	333
6272	333
6297	333
6322	334
6347	333
6372	334
6397	334
6422	334
6447	333
6472	333
6497	333
6521	333
6546	333
6571	333
6596	333
6620	333
6645	333
6670	334
6695	333
6720	334
6745	333
6770	333
6795	333
6820	333
6845	333
6870	333
6895	333
6920	333
6945	333
6970	333
6995	333
7020	333
7045	333
7070	333
7095	334
7120	333
7145	334
7170	334
7195	333
7220	333
7245	332
7267	333
7292	334
7317	333
7342	334
7367	332
7392	332
7417	332
7442	333
7467	332
7492	334
7517	332
7542	333
7567	333
7592	332
7617	334
7642	333
7667	334
7692	333
7717	334
7742	333
7767	333
7792	333
7817	333
7842	334
7867	333
7892	333
7917	333
7942	333
7967	333
7992	333
8017	333
8042	331
8067	332
8092	332
8117	332
8142	332
8167	332
8192	332
8217	332
8242	332
8267	332
8292	332
8317	331
8348	332
8372	332
8406	332
8440	332
8465	332
8489	333
8513	332
8537	333
8566	333
8591	333
8616	333
8641	332
8666	332
8691	333
8716	331
8741	332
8766	332
8791	333
8816	333
8841	333
8866	333
8891	332
8916	332
8941	332
8966	332
8991	332
9016	332
9041	333
9066	332
9091	332
9116	333
9141	332
9166	333
9191	333
9216	332
9241	332
9266	332
9291	333
9316	333
9341	334
9366	333
9391	332
9416	332
9441	333
9466	334
9491	332
9516	328
9541	314
9566	290
9591	265
9616	209
9641	173
9666	140
9691	42
9716	26
9741	29
9766	34
9791	45
9816	36
9841	36
9863	37
9887	37
9911	32
9936	38
9960	35
9984	35
10008	30
10032	27
10056	24
10080	21
10105	19
10130	17
10154	15
10178	15
10202	15
10227	14
10251	14
10276	15
10301	15
10326	16
10350	15
10374	15
10399	15
10423	16
10447	15
10471	15
10496	15
10521	15
10545	15
10569	16
10593	14
10618	14
10642	14
10666	14
10691	16
10716	18
10741	17
10765	17
10790	16
10815	15
10840	15
10864	16
10889	15
10914	15
10939	16
10964	16
10989	15
11014	15
11038	13
11062	13
11087	14
11116	14
11141	15
11166	14
11190	13
11214	14
11238	14
11262	14
11286	15
11311	15
11335	15
11360	16
11385	16
11409	17
11440	17
11464	17
11488	15
11512	16
11536	15
11560	15
11584	15
11608	15
11632	15
11656	17
11680	16
11704	15
11728	16
11752	17
11776	18
11800	17
11824	16
11848	16
11872	14
11896	13
11920	15
11944	16
11968	16
11992	19
12016	19
12040	16
12064	19
12088	19
12112	14
12136	14
12160	15
12184	15
12208	15
12232	16
12256	16
12280	14
12304	15
12328	14
12352	14
12381	15
12406	17
12430	16
12455	16
12479	17
12504	16
12528	15
12553	15
12577	15
12602	15
12626	14
12651	14
12675	13
12700	14
12724	14
12749	15
12773	16
12798	15
12822	14
12847	15
12872	15
12897	13
12921	14
12946	14
12970	14
12995	14
13019	13
13044	14
13068	14
13093	14
13117	14
13142	14
13166	15
13191	15
13215	15
13240	15
13265	16
13290	14
13314	15
13339	14
13364	14
13389	15
13414	15
13439	14
13464	15
13489	15
13514	14
13539	14
13563	14
13588	14
13612	15
13641	14
13666	14
13691	15
13716	14
13741	15
13766	13
13791	15
13816	16
13841	14
13866	14
13891	15
13916	15
13941	15
13966	14
13991	15
14016	16
14041	15
14066	15
14091	15
14116	16
14141	16
14166	15
14191	15
14216	13
14241	14
14266	15
14291	15
14316	15
14341	15
14366	15
14391	14
14416	14
14441	15
14466	14
14491	15
14522	15
14556	16
14581	16
14606	17
14631	16
14665	16
14690	15
14715	16
14740	14
14765	14
14790	15
14815	14
14840	14
14865	15
14890	15
14915	15
