Time	Volt
16788	406
16812	408
16836	407
16860	400
16884	408
16908	415
16932	413
16956	409
16980	404
17004	407
17028	407
17052	400
17076	400
17100	408
17124	376
17148	392
17172	390
17196	401
17220	401
17244	404
17268	413
17292	414
17316	407
17340	401
17364	404
17388	398
17412	400
17436	404
17460	374
17484	396
17508	403
17532	402
17556	406
17580	394
17604	401
17628	399
17652	356
17676	388
17700	399
17724	361
17748	374
17772	391
17796	397
17820	361
17844	383
17868	394
17896	396
17920	397
17944	399
17968	364
17992	390
18016	395
18040	407
18064	401
18088	394
18112	409
18136	410
18160	408
18184	406
18208	408
18232	372
18256	390
18280	400
18304	377
18328	385
18352	391
18376	401
18400	402
18424	402
18448	402
18472	407
18496	409
18520	411
18544	405
18568	365
18592	379
18616	393
18640	390
18664	404
18688	405
18712	406
18736	414
18760	363
18784	379
18808	400
18832	400
18856	404
18880	408
18904	408
18928	403
18952	402
18976	409
19000	406
19021	368
19045	392
19069	401
19093	401
19117	408
19141	407
19165	410
19189	403
19213	412
19237	409
19261	403
19285	400
19316	379
19340	394
19450	383
19626	426
19806	448
19910	444
19934	432
19958	426
19982	416
20006	406
20030	414
20054	341
20078	381
20102	384
20126	400
20150	407
20174	407
20198	401
20222	403
20246	399
20270	407
20294	406
20318	385
20342	385
20366	397
20390	398
20414	404
20438	394
20462	400
20486	406
20510	408
20534	402
20558	404
20582	403
20610	405
20644	401
20667	406
20690	400
20713	411
20736	405
20759	398
20782	406
20805	408
20828	403
20851	398
20874	398
20897	396
20920	373
20943	387
20966	388
20989	398
21012	376
21035	393
21058	406
21081	396
21104	405
21127	406
21150	403
21173	368
21196	351
21219	374
21242	383
21265	390
21288	374
21311	395
21334	399
21357	395
21380	404
21403	407
21426	398
21449	410
21472	411
21495	411
21518	408
21541	404
21564	410
21587	381
21610	401
21633	399
21656	402
21679	406
21706	398
21729	400
21752	401
21775	409
21798	405
21821	366
21844	385
21867	395
21890	407
21913	398
21936	408
21959	406
21982	408
22005	414
22028	411
22051	411
22074	407
22097	407
22120	402
22143	399
22166	408
22189	411
22212	414
22235	407
22258	408
22281	404
22304	405
22327	405
22350	406
22373	412
22396	375
22419	388
22442	402
22465	396
22488	368
22511	388
22534	370
22557	397
22580	396
22603	404
22626	404
22649	414
22672	416
22695	413
22718	411
22741	364
22768	387
22791	391
22814	402
22837	410
22860	402
22883	403
22906	405
22929	406
22952	408
22975	410
22998	415
23021	407
23044	414
23067	403
23090	407
23113	406
23136	398
23159	404
23182	372
23205	364
23228	381
23251	391
23274	395
23297	396
23320	406
23343	364
23366	380
23389	358
23412	350
23442	379
23465	396
23488	395
23520	406
23543	402
23566	406
23589	396
23612	398
23635	399
23658	401
23681	401
23704	400
23727	405
23750	406
23773	406
23796	407
23819	403
23842	405
23869	401
23892	407
23915	398
23938	410
23961	408
23984	402
24007	409
24030	403
24053	407
24076	399
24099	401
24122	405
24145	401
24168	411
24191	404
24214	411
24237	409
24260	401
24283	410
24306	411
24329	368
24352	350
24375	376
24398	397
24421	398
24444	401
24467	402
24490	408
24513	371
24536	379
24559	355
24582	380
24605	397
24628	390
24651	392
24674	400
24697	396
24720	402
24743	398
24766	405
24789	399
24812	395
24835	403
24858	397
24881	407
24904	405
24931	411
24954	406
24977	399
25000	407
25023	409
25046	414
25069	411
25092	412
25115	412
25138	408
25161	412
25184	411
25207	406
25230	400
25253	404
25276	401
25299	401
25322	399
25345	400
25368	403
25391	406
25414	340
25437	341
25460	366
25483	393
25506	398
25529	406
25552	369
25575	376
25598	399
25621	399
25644	405
25667	409
25690	409
25713	406
25736	365
25759	347
25782	378
25805	351
25828	381
25851	389
25874	401
25897	404
25920	415
25943	407
25966	398
25989	375
26016	381
26039	400
26062	405
26085	404
26108	406
26131	408
26154	412
26177	398
26200	406
26223	407
26246	403
26269	403
26299	404
26322	405
26345	407
26377	407
26400	368
26423	388
26446	399
26469	359
26492	381
26515	354
26538	375
26561	393
26584	400
26607	405
26630	402
26653	410
26676	410
26699	371
26722	396
26745	398
26768	401
26791	400
26814	405
26837	408
26860	408
26883	405
26906	397
26929	401
26952	401
26975	401
26998	396
27021	402
27044	402
27067	398
27094	369
27117	352
27140	334
27163	376
27186	389
