Time	Volt
194	54
214	54
236	54
258	56
280	56
302	55
324	50
346	48
368	47
390	53
412	53
434	55
456	56
478	58
500	63
522	73
544	84
566	75
588	86
610	80
632	70
654	70
676	67
698	66
720	65
742	65
764	65
786	64
808	64
830	65
852	65
874	65
896	66
918	65
940	65
962	63
984	63
1006	63
1028	62
1050	62
1072	59
1094	53
1116	56
1138	56
1160	56
1182	63
1204	65
1226	67
1248	68
1270	70
1292	71
1314	72
1336	71
1358	71
1380	70
1402	68
1424	65
1446	64
1468	65
1490	66
1515	74
1537	94
1559	124
1581	176
1603	280
1625	318
1647	333
1669	342
1691	344
1713	346
1735	348
1757	348
1779	348
1801	348
1823	347
1845	348
1867	339
1889	293
1911	183
1933	115
1955	57
1977	33
1999	31
2021	33
2043	32
2065	32
2087	31
2109	33
2131	32
2153	33
2175	32
2197	32
2219	33
2241	33
2263	32
2285	33
2307	33
2329	33
2351	33
2373	33
2395	33
2417	34
2439	36
2461	44
2483	65
2535	178
2557	259
2579	311
2601	323
2623	335
2645	342
2667	346
2689	347
2711	348
2737	349
2759	350
2781	351
2803	350
2825	349
2847	350
2869	348
2891	346
2913	338
2935	312
2957	219
2979	141
3001	87
3023	55
3045	45
3067	39
3089	35
3111	35
3133	33
3155	34
3177	34
3199	34
3221	37
3243	44
3265	55
3287	68
3309	83
3331	97
3353	112
3375	122
3397	141
3419	178
3441	232
3463	282
3485	312
3507	328
3529	342
3551	346
3573	346
3595	347
3617	348
3639	348
3661	348
3683	348
3705	348
3727	348
3749	347
3771	347
3793	339
3815	284
3837	176
3859	111
3881	66
3907	41
3929	35
3951	34
3973	34
3995	33
4017	33
4039	33
4061	33
4083	33
4105	33
4127	33
4149	36
4171	45
4193	57
4215	69
4237	81
4259	92
4281	104
4303	130
4325	163
4347	230
4369	303
4391	325
4413	343
4435	348
4457	348
4479	348
4501	348
4523	349
4545	349
4567	349
4589	349
4611	349
4633	346
4655	311
4677	190
4699	106
4721	56
4743	37
4765	31
4787	30
4839	30
4861	31
4883	31
4905	32
4927	31
4949	31
4971	31
4993	36
5015	54
5037	94
5059	159
5081	249
5103	307
5129	331
5151	342
5173	345
5195	348
5217	350
5239	349
5261	349
5283	348
5305	345
5327	313
5349	205
5371	122
5393	74
5415	51
5437	41
5459	39
5481	37
5503	35
5525	34
5547	34
5569	34
5591	33
5613	33
5635	34
5657	35
5679	39
5713	42
5735	43
5757	42
5779	42
5801	41
5823	40
5845	41
5867	41
5889	42
5911	47
5933	51
5955	58
5977	68
5999	84
6021	104
6043	130
6065	162
6087	216
6109	282
6131	309
6153	326
6175	336
6197	339
6219	340
6241	342
6263	343
6285	343
6307	344
6333	343
6355	344
6377	342
6399	330
6421	232
6443	130
6465	74
6487	46
6509	33
6531	31
6553	32
6575	32
6597	32
6619	32
6641	32
6663	32
6685	32
6707	33
