Time	Volt
386	76
570	68
752	70
777	70
801	68
825	69
849	70
873	72
897	76
921	81
945	83
969	85
993	88
1017	97
1041	107
1065	113
1089	118
1113	125
1137	138
1161	161
1185	212
1209	294
1233	297
1257	300
1281	308
1305	313
1329	316
1353	317
1377	311
1401	305
1425	230
1449	146
1473	93
1497	73
1521	64
1545	59
1569	56
1593	55
1617	55
1641	56
1665	56
1689	58
1713	58
1737	60
1761	62
1785	63
1809	66
1833	71
1857	82
1881	109
1905	141
1929	166
1953	216
1977	284
2001	299
2029	300
2054	308
2079	311
2104	315
2129	317
2154	316
2179	310
2204	307
2229	197
2254	131
2279	87
2304	70
2329	62
2354	58
2379	57
2404	58
2429	61
2454	69
2479	78
2504	84
2529	90
2554	96
2579	101
2604	105
2629	105
2654	108
2679	108
2704	110
2729	110
2754	113
2779	114
2804	116
2829	126
2854	145
2879	172
2904	239
2929	300
2954	298
2979	305
3004	311
3029	316
3054	317
3079	314
3104	309
3129	263
3154	160
3179	107
3204	79
3229	65
3254	61
3279	62
3304	62
3329	65
3358	66
3383	68
3408	72
3433	79
3458	82
3483	87
3508	95
3533	107
3558	120
3583	142
3608	169
3633	218
3658	290
3683	299
3708	302
3733	310
3764	316
3789	318
3813	318
3838	310
3862	258
3887	157
3911	118
3936	104
3960	104
3984	107
4008	113
4033	121
4057	130
4082	139
4106	148
4131	153
4155	157
4180	154
4204	154
4229	153
4253	153
4277	155
4301	154
4326	155
4350	155
4375	157
4399	163
4424	181
4448	250
4473	298
4497	296
4522	303
4546	310
4571	313
4595	313
4620	312
4649	307
4673	270
4698	169
4723	127
4748	108
4772	100
4797	98
4822	99
4847	105
4871	112
4896	120
4921	129
4945	136
4969	142
4994	145
5019	144
5044	143
5068	143
5093	141
5118	139
5143	139
5167	138
5192	139
5216	138
5241	139
5265	138
5290	136
5315	133
5340	125
5364	120
5388	115
5413	106
5438	101
5462	101
5487	105
5512	111
5537	125
5561	143
5586	159
5611	180
5636	236
5660	294
5685	295
5710	304
5735	309
5760	314
5785	316
5809	316
5834	316
5859	310
5884	305
5913	207
5938	145
5963	114
5988	101
6012	96
6037	95
6062	95
6087	95
6111	96
6135	97
6160	100
6185	103
6209	105
6234	107
6258	111
6283	120
6307	141
6332	165
6357	206
6382	279
6407	297
6432	297
6457	304
6482	310
6507	311
6532	314
6557	314
6582	312
6607	308
6632	303
6656	243
6681	159
6706	123
6731	105
6755	96
6780	90
6805	91
6830	94
6870	102
6894	107
6928	112
6953	113
6978	116
7002	116
7026	117
7051	117
7076	116
7101	117
7125	120
7150	131
7175	159
7200	221
7225	291
7247	297
7272	299
7297	304
7322	308
7347	310
7372	312
7397	312
7422	312
7447	311
7472	311
7497	311
7522	311
7547	312
7572	312
7597	310
7622	310
7647	306
7672	299
7697	260
7722	178
7747	137
7772	105
7797	87
7822	75
7847	70
7872	65
7897	62
7922	62
7947	66
7972	68
7997	69
8022	70
8047	71
8072	74
8097	80
8122	88
8147	108
8172	140
8197	205
8222	297
8247	296
8272	308
8297	312
8322	315
8347	316
8372	315
8397	308
8422	305
8447	247
8472	172
8497	136
8522	117
8551	105
8576	101
8601	98
8626	100
8651	103
8676	109
8701	116
8726	136
8751	162
8776	205
8801	282
8826	298
8851	302
8876	306
8901	311
8926	314
8951	315
8976	315
9001	316
9026	315
9051	312
9076	308
9101	307
9126	305
9151	272
9175	234
9200	201
9225	185
9250	180
9275	177
9300	175
9325	174
9350	173
9375	172
9400	171
9425	171
9450	170
9475	170
9500	170
9525	169
9550	167
9575	162
9600	159
9625	156
9650	155
9675	155
9700	154
9725	153
9750	154
9775	153
9800	155
9829	155
9854	154
9879	153
9904	152
9929	158
9954	184
9985	275
10010	296
10035	302
10060	307
10085	310
10110	313
10135	313
10160	312
10185	306
10210	279
10235	168
10260	122
10285	98
10310	80
10335	71
10360	66
10385	66
10410	66
10435	65
10460	65
10484	66
10509	66
10534	66
10559	67
10584	70
10609	91
10634	132
10659	192
10684	292
10709	296
10734	304
10759	309
10784	311
10809	314
10834	314
10859	313
10884	309
10909	305
10934	301
10959	288
10984	268
11009	250
11034	238
11063	235
11088	233
11113	232
11138	231
11163	229
11188	227
11213	225
11238	212
11263	198
11288	190
11313	185
11338	183
11363	182
11388	180
11413	179
11438	178
11463	177
11488	178
11513	178
11538	178
11563	177
11588	177
11613	177
11638	176
11663	174
11688	174
11713	173
11738	174
11763	174
11788	173
11813	171
11838	172
11863	172
11888	171
11913	171
11938	171
11963	170
11988	169
12013	170
12038	169
12063	169
12088	169
12113	169
12138	168
12163	168
12188	168
12217	167
12242	167
12267	165
12292	164
12317	163
12342	160
12367	159
12392	156
12417	152
12442	146
12467	139
12492	127
12517	113
12542	103
12567	95
12592	90
12617	85
12642	84
12667	84
12692	85
12717	85
12742	87
12767	89
12792	89
12817	90
12842	91
12867	92
12892	93
12917	94
12942	94
12967	95
12992	96
13017	96
13042	98
13067	99
13101	139
13132	215
13157	292
13182	294
13207	301
13242	308
13267	308
13292	305
13317	301
13342	180
13367	113
13392	80
13417	66
13442	60
13471	59
13495	59
13519	60
13543	60
13567	60
13591	60
13615	63
13640	66
13664	70
13688	72
13712	74
13737	78
13761	87
13785	124
13809	164
13833	265
13858	294
13882	300
13907	307
13931	311
13955	313
13980	313
14004	305
14029	291
14054	147
14078	92
14102	71
14127	60
14151	56
14175	55
14199	55
14224	54
14248	52
14272	52
14296	52
14320	54
14345	55
14369	55
14393	56
