Time	Volt
415	10
612	12
801	11
1003	11
1195	11
1386	12
1495	12
1536	12
1560	12
1583	12
1607	11
1631	11
1655	11
1679	11
1703	12
1727	11
1751	11
1775	11
1799	12
1823	12
1847	11
1871	12
1895	11
1919	11
1943	12
1967	12
1991	11
2015	12
2039	12
2062	12
2086	11
2110	11
2134	11
2158	11
2182	12
2206	12
2230	11
2253	12
2277	12
2301	11
2325	11
2349	11
2373	12
2397	11
2421	12
2445	12
2469	11
2493	11
2517	11
2541	12
2565	12
2589	11
2613	11
2637	11
2661	11
2685	12
2709	9
2730	12
2754	11
2778	11
2802	12
2826	12
2850	11
2874	12
2898	12
2922	12
2946	11
2970	11
2994	11
3018	12
3042	11
3066	11
3090	11
3114	11
3138	11
3162	11
3186	11
3210	11
3234	12
3258	11
3282	11
3306	12
3330	12
3354	11
3378	11
3402	13
3426	11
3450	12
3474	12
3498	12
3522	11
3546	13
3570	12
3594	12
3618	11
3642	12
3666	12
3690	12
3714	12
3738	11
3762	12
3786	11
3810	11
3834	11
3858	11
3882	11
3906	12
3930	12
3954	11
3978	12
4002	12
4026	12
4050	12
4074	9
4095	11
4119	12
4143	11
4167	11
4191	11
4215	12
4239	12
4263	12
4287	12
4311	12
4335	11
4359	11
4383	12
4407	12
4431	11
4455	11
4479	11
4503	12
4527	12
4551	12
4575	12
4599	12
4623	12
4647	11
4671	12
4695	11
4719	11
4743	11
4767	11
4791	11
4815	12
4839	11
4863	12
4887	12
4911	11
4935	12
4959	12
4983	12
5007	12
5031	12
5055	10
5079	12
5103	11
5127	11
5151	11
5175	11
5199	12
5223	11
5247	12
5271	11
5295	11
5319	11
5343	12
5367	13
5391	11
5415	12
5439	10
5460	11
5484	12
5508	11
5532	12
5556	12
5580	11
5604	11
5628	12
5652	13
5676	12
5700	11
5724	11
5748	12
5772	11
5796	11
5820	12
5844	12
5868	12
5892	12
5916	11
5940	11
5964	11
5988	12
6012	12
6036	11
6060	12
6084	11
6108	12
6132	11
6156	12
6180	11
6204	11
6228	12
6252	11
6276	11
6300	12
6324	11
6348	12
6372	11
6396	12
6420	12
6444	12
6468	12
6492	11
6516	11
6540	11
6564	11
6588	12
6612	11
6636	12
6660	12
6684	12
6708	12
6732	12
6756	11
6780	12
6808	12
6832	11
6856	12
6880	11
6904	12
6928	12
6952	12
6976	12
7000	11
7024	12
7048	11
7072	11
7096	11
7120	12
7144	12
7175	11
7199	12
7239	11
7263	11
7287	12
7311	11
7335	11
7366	12
7390	12
7424	11
7448	12
7472	12
7496	12
7520	12
7544	12
7568	12
7592	11
7616	11
7640	12
7664	12
7688	11
7712	11
7736	12
7760	12
7784	12
7808	11
7832	12
7856	11
7880	12
7904	12
7928	13
7952	12
7976	12
8000	11
8024	11
8048	11
8072	11
8096	11
8120	12
8144	11
8168	12
8192	11
8220	12
8244	12
8268	12
8292	12
8316	12
8340	11
8364	11
8388	11
8412	12
8436	11
8460	11
8484	12
8508	11
8532	11
8556	11
8580	11
8604	11
8628	11
8652	11
8676	11
8700	12
8724	11
8748	12
8772	12
8796	11
8820	11
8844	11
8868	11
8892	12
8916	12
8940	11
8964	11
8988	11
9012	11
9036	12
9060	12
9084	11
9108	12
9132	12
