Time	Volt
0.0030748844146728516	58	
0.0041408538818359375	58	
0.004842042922973633	57	
0.005144834518432617	57	
0.0053179264068603516	57	
0.00547480583190918	58	
0.005707740783691406	59	
0.005985736846923828	60	
0.006140947341918945	60	
0.006360769271850586	60	
0.0065538883209228516	60	
0.006722927093505859	60	
0.0068759918212890625	61	
0.007052898406982422	59	
0.007309913635253906	60	
0.007460832595825195	60	
0.007699012756347656	60	
0.007874727249145508	60	
0.008094072341918945	61	
0.008267879486083984	61	
0.00845789909362793	61	
0.008763790130615234	61	
0.008949041366577148	61	
0.009163856506347656	60	
0.009337902069091797	61	
0.009505748748779297	60	
0.009676694869995117	60	
0.009875059127807617	60	
0.01018977165222168	60	
0.010405778884887695	61	
0.01063084602355957	61	
0.010798931121826172	60	
0.010998010635375977	59	
0.011165857315063477	61	
0.011372089385986328	59	
0.011683940887451172	60	
0.011848926544189453	61	
0.012054681777954102	60	
0.012225866317749023	60	
0.012393951416015625	60	
0.012563943862915039	60	
0.012727737426757812	60	
0.012993812561035156	61	
0.0168609619140625	60	
0.05694007873535156	60	
0.0969688892364502	60	
0.13691091537475586	60	
0.17706704139709473	60	
0.21695995330810547	59	
0.2569417953491211	59	
0.29682207107543945	60	
0.3368070125579834	60	
0.3768489360809326	59	
0.41695284843444824	60	
0.45662808418273926	60	
0.4966709613800049	59	
0.536639928817749	60	
0.5766746997833252	59	
0.616786003112793	59	
0.6566348075866699	61	
0.6968438625335693	61	
0.7366368770599365	60	
0.7765960693359375	60	
0.8165876865386963	60	
0.8564178943634033	59	
0.896331787109375	59	
0.9364607334136963	59	
0.9763858318328857	59	
1.0164039134979248	59	
1.0563957691192627	59	
1.0964679718017578	59	
1.136183738708496	59	
1.1760859489440918	60	
1.2161188125610352	59	
1.2561700344085693	59	
1.2960188388824463	59	
1.3359670639038086	59	
1.3758831024169922	59	
1.4158790111541748	59	
1.455993890762329	59	
1.4959278106689453	58	
1.5359370708465576	60	
1.5757508277893066	59	
1.6160199642181396	58	
1.65596604347229	58	
1.6957597732543945	58	
1.7356998920440674	58	
1.7757136821746826	59	
1.8160369396209717	58	
1.8557157516479492	58	
1.8955857753753662	59	
1.9355337619781494	59	
1.975522756576538	59	
2.015737771987915	59	
2.0555148124694824	59	
2.095486879348755	59	
2.135390043258667	58	
2.1755547523498535	58	
2.215517044067383	59	
2.2562787532806396	58	
2.2965199947357178	58	
2.3353188037872314	58	
2.375425100326538	58	
2.4152708053588867	59	
2.4553258419036865	59	
2.4961788654327393	59	
2.5353639125823975	58	
2.5750598907470703	57	
2.615126848220825	58	
2.656491994857788	58	
2.6949760913848877	59	
2.7350969314575195	58	
2.7749738693237305	58	
2.8150458335876465	58	
2.8549728393554688	58	
2.8948910236358643	58	
2.9349138736724854	58	
2.975078821182251	58	
3.014806032180786	59	
3.054771900177002	56	
3.094970941543579	58	
3.1348769664764404	58	
3.17470383644104	59	
3.2148659229278564	58	
3.2548818588256836	58	
3.294735908508301	59	
3.3346807956695557	58	
3.374856948852539	59	
3.414562702178955	59	
3.454540729522705	59	
3.494590997695923	60	
3.5346450805664062	60	
3.574537992477417	61	
3.614895820617676	60	
3.6547017097473145	61	
3.694361925125122	60	
3.734560012817383	62	
3.7743067741394043	85	
3.8144829273223877	116	
3.8542559146881104	152	
3.8944740295410156	201	
3.934358835220337	292	
3.9742329120635986	311	
4.014235973358154	324	
4.054117918014526	326	
4.094253778457642	327	
4.134223937988281	326	
4.174052953720093	326	
4.213986873626709	326	
4.253978967666626	325	
4.294045925140381	315	
4.334007740020752	202	
4.373901844024658	109	
4.4138569831848145	67	
4.453863859176636	55	
4.4937989711761475	54	
4.536197900772095	54	
4.573745965957642	54	
4.613714933395386	54	
4.653877019882202	54	
4.693727016448975	53	
4.733649969100952	53	
4.773595809936523	53	
4.81390905380249	55	
4.853704929351807	53	
4.893456935882568	53	
4.937873840332031	54	
4.97345495223999	53	
5.013588905334473	54	
5.053432941436768	53	
5.093350887298584	54	
5.1333630084991455	52	
5.173264980316162	54	
5.213299036026001	54	
5.2534339427948	54	
5.2933189868927	53	
5.333163022994995	54	
5.3731138706207275	54	
5.413169860839844	54	
5.453120946884155	54	
5.493022918701172	55	
5.5330119132995605	53	
5.57294487953186	54	
5.612943887710571	53	
5.652944803237915	54	
5.692952871322632	54	
5.732867956161499	55	
5.772806882858276	56	
5.812885999679565	60	
5.852818965911865	70	
5.892779111862183	78	
5.932704925537109	94	
5.972744941711426	118	
6.012924909591675	148	
6.055009126663208	193	
6.09259295463562	284	
6.132588148117065	306	
6.172713041305542	318	
6.212609052658081	322	
6.25256085395813	325	
6.292778968811035	325	
6.332417726516724	326	
6.372721910476685	326	
6.412458896636963	326	
6.452355861663818	320	
6.492383003234863	283	
6.532413005828857	153	
6.572320938110352	81	
6.612306833267212	62	
6.655382871627808	55	
6.692185878753662	54	
6.732182741165161	54	
6.772114992141724	54	
6.815399885177612	53	
6.85202693939209	54	
6.892088890075684	54	
6.932046890258789	53	
6.971995830535889	54	
7.011963844299316	54	
7.051873683929443	54	
7.091968059539795	53	
7.131922960281372	54	
7.171828985214233	54	
7.211788892745972	53	
7.252068758010864	54	
7.2918360233306885	53	
7.331750869750977	53	
7.371694803237915	53	
7.411623954772949	54	
7.451686859130859	53	
7.491702079772949	53	
7.531592845916748	53	
7.571496963500977	53	
7.611559867858887	53	
7.651578903198242	53	
7.691478729248047	53	
7.731380939483643	53	
7.772114992141724	54	
7.811609745025635	53	
7.851322889328003	54	
7.891378879547119	56	
7.931849956512451	68	
7.971358060836792	102	
8.011201858520508	156	
8.05125093460083	243	
8.091222763061523	302	
8.131135940551758	316	
8.17130708694458	323	
8.21101975440979	326	
8.251307964324951	324	
8.291164875030518	326	
8.331017971038818	326	
8.370902061462402	327	
8.410944938659668	326	
8.451006889343262	327	
8.49149489402771	326	
8.53101897239685	327	
8.570828914642334	325	
8.610739946365356	325	
8.6509850025177	309	
8.691005945205688	234	
8.735166072845459	120	
8.770625829696655	64	
8.810678720474243	54	
8.850587844848633	55	
8.890741109848022	55	
8.930540800094604	55	
8.970476865768433	55	
9.010483980178833	55	
9.050649881362915	55	
9.091805934906006	55	
9.130392789840698	54	
9.17036485671997	55	
9.210408926010132	54	
9.250542879104614	55	
9.29036283493042	54	
9.330257892608643	54	
9.370246887207031	54	
9.410354852676392	54	
9.450162887573242	54	
