Time	Volt
0.0007460117340087891	265	
0.002527952194213867	266	
0.002885103225708008	266	
0.003208160400390625	265	
0.003464937210083008	266	
0.0036468505859375	266	
0.0038199424743652344	266	
0.004014015197753906	265	
0.004317045211791992	265	
0.004599094390869141	265	
0.004775047302246094	266	
0.004968881607055664	265	
0.005136013031005859	266	
0.005319118499755859	265	
0.005484104156494141	266	
0.005708932876586914	265	
0.005897998809814453	266	
0.006124973297119141	265	
0.006315946578979492	265	
0.006501197814941406	265	
0.00667119026184082	265	
0.006973981857299805	265	
0.007205009460449219	266	
0.007380962371826172	265	
0.007606029510498047	264	
0.007796049118041992	264	
0.008089065551757812	264	
0.008275270462036133	264	
0.008449077606201172	264	
0.008675098419189453	265	
0.008862972259521484	265	
0.009046077728271484	264	
0.00921487808227539	265	
0.009413003921508789	265	
0.009586811065673828	264	
0.009790897369384766	264	
0.010140180587768555	265	
0.010395050048828125	266	
0.010702133178710938	265	
0.010910987854003906	263	
0.011133909225463867	265	
0.011362075805664062	264	
0.011549234390258789	264	
0.011825084686279297	264	
0.011996030807495117	265	
0.012164115905761719	264	
0.012331008911132812	264	
0.02768993377685547	265	
0.06793904304504395	265	
0.10798215866088867	265	
0.14773106575012207	265	
0.18803811073303223	265	
0.2278451919555664	264	
0.2674400806427002	265	
0.3074171543121338	265	
0.3475630283355713	264	
0.38735318183898926	264	
0.4274439811706543	264	
0.46752309799194336	264	
0.5073819160461426	264	
0.5471620559692383	264	
0.5873401165008545	264	
0.6271469593048096	264	
0.6672282218933105	265	
0.7072911262512207	264	
0.747075080871582	264	
0.7869579792022705	264	
0.8271751403808594	265	
0.866973876953125	264	
0.9068710803985596	265	
0.9467661380767822	261	
0.9865992069244385	264	
1.0270099639892578	263	
1.0666780471801758	264	
1.1068170070648193	264	
1.1468331813812256	260	
1.1867530345916748	264	
1.226794958114624	265	
1.2665860652923584	264	
1.3066270351409912	264	
1.3465070724487305	264	
1.3865809440612793	265	
1.426306962966919	264	
1.4664781093597412	264	
1.5064828395843506	264	
1.5461511611938477	265	
1.5863800048828125	264	
1.6262741088867188	263	
1.66628098487854	263	
1.7061831951141357	263	
1.7462050914764404	264	
1.786120891571045	264	
1.826059103012085	264	
1.8662099838256836	264	
1.9061260223388672	264	
1.9458348751068115	264	
1.9860210418701172	265	
2.0261411666870117	264	
2.0657200813293457	265	
2.105680227279663	264	
2.145993947982788	264	
2.185791015625	264	
2.2254698276519775	264	
2.2656280994415283	264	
2.3056640625	264	
2.3456308841705322	264	
2.3855700492858887	264	
2.4253461360931396	264	
2.465769052505493	264	
2.505460023880005	264	
2.5456221103668213	264	
2.585297107696533	265	
2.625784158706665	264	
2.6653881072998047	265	
2.7052059173583984	263	
2.745065927505493	264	
2.7851979732513428	264	
2.8249731063842773	264	
2.8651041984558105	264	
2.905074119567871	264	
2.944998025894165	263	
2.984901189804077	263	
3.0248031616210938	264	
3.064934015274048	264	
3.104820966720581	263	
3.1446619033813477	264	
3.184739112854004	263	
3.224614143371582	264	
3.264554023742676	263	
3.3046979904174805	264	
3.344841957092285	265	
3.384615182876587	263	
3.424525022506714	264	
3.4646079540252686	264	
3.5045371055603027	265	
3.544459104537964	264	
3.5847580432891846	263	
3.624490976333618	263	
3.6642868518829346	263	
3.704240083694458	264	
3.7443430423736572	264	
3.784198045730591	263	
3.8241541385650635	264	
3.864251136779785	264	
3.9040591716766357	264	
3.944169044494629	263	
3.9842071533203125	264	
4.0239479541778564	264	
4.064019203186035	264	
4.1038219928741455	264	
4.143813133239746	263	
4.1838178634643555	263	
4.2239110469818115	263	
4.263859033584595	263	
4.30392599105835	264	
4.343679904937744	265	
4.3834228515625	264	
4.423602819442749	264	
4.46370005607605	263	
4.5036232471466064	264	
4.543428182601929	264	
4.5833258628845215	265	
4.623474836349487	264	
4.663334131240845	264	
4.703423976898193	265	
4.743212938308716	264	
4.783207178115845	264	
4.8231000900268555	264	
4.86313009262085	264	
4.903048276901245	263	
4.943015098571777	264	
4.983154058456421	264	
5.023201942443848	265	
5.06311297416687	264	
5.1028430461883545	265	
5.143005847930908	264	
5.183048248291016	265	
5.223046064376831	265	
5.263000965118408	264	
5.302944898605347	266	
5.342824220657349	265	
5.382695198059082	264	
5.422890901565552	264	
5.462493896484375	264	
5.5024800300598145	264	
5.542548894882202	264	
5.582453012466431	263	
5.6223790645599365	265	
5.662713050842285	265	
5.702272891998291	264	
5.74240517616272	264	
5.782510995864868	265	
5.82222318649292	265	
5.862223148345947	265	
5.9022979736328125	265	
5.94225811958313	264	
5.982080936431885	265	
6.022290229797363	264	
6.062315940856934	265	
6.102176904678345	262	
6.1421120166778564	264	
6.1821129322052	264	
6.221861124038696	264	
6.2622551918029785	265	
6.302217960357666	264	
6.341907262802124	264	
6.382146120071411	264	
6.421796083450317	264	
6.46205997467041	262	
6.502024173736572	265	
6.5418102741241455	265	
6.581479072570801	265	
6.621608257293701	264	
6.661643028259277	264	
6.701598882675171	265	
6.741636037826538	264	
6.781671047210693	263	
6.821521043777466	265	
6.861464023590088	264	
6.901546955108643	265	
6.941480875015259	265	
6.981379985809326	264	
7.021335124969482	264	
7.061138153076172	264	
7.101288080215454	264	
7.141199111938477	264	
7.181386947631836	264	
7.22087287902832	264	
7.261077880859375	264	
7.301074266433716	264	
7.341110944747925	264	
7.38112998008728	264	
7.420956134796143	264	
7.460904836654663	265	
7.500833988189697	264	
7.54087495803833	265	
7.580956220626831	265	
7.621022939682007	264	
7.660830974578857	265	
7.700824022293091	265	
7.740757942199707	265	
7.780807256698608	265	
7.820908069610596	264	
7.86058497428894	265	
7.90067720413208	265	
7.940701246261597	265	
7.980420112609863	265	
8.02045202255249	264	
8.06050992012024	264	
8.100373983383179	265	
8.14013409614563	264	
8.180397033691406	264	
8.220383882522583	264	
8.260256052017212	265	
8.300071239471436	264	
8.340272188186646	266	
8.380197048187256	265	
8.420064926147461	265	
8.460078001022339	265	
8.500068187713623	265	
8.540132999420166	265	
8.57991909980774	265	
8.619945049285889	265	
8.660007238388062	264	
8.700025081634521	265	
8.740181922912598	264	
8.779829025268555	265	
8.819968938827515	265	
8.859723091125488	265	
8.899898052215576	265	
8.939674139022827	265	
8.979611158370972	264	
9.019645929336548	266	
9.059688091278076	265	
9.099367141723633	266	
9.139359951019287	265	
9.179644107818604	265	
9.219645977020264	265	
9.259405136108398	264	
9.29939603805542	265	
9.339331150054932	265	
9.379467010498047	266	
9.419260025024414	264	
9.459165096282959	265	
9.499293088912964	266	
9.539156913757324	265	
9.579079151153564	265	
9.619218111038208	264	
9.658928155899048	264	
9.699140071868896	265	
9.739099025726318	264	
9.77892804145813	265	
9.81899905204773	264	
9.858736038208008	264	
9.898813962936401	264	
9.93887710571289	265	
9.97897219657898	265	
10.01894497871399	264	
10.058589935302734	265	
10.098482847213745	265	
10.138409852981567	264	
10.178750038146973	264	
10.21849799156189	264	
10.258714199066162	264	
10.298496961593628	265	
10.338577032089233	263	
10.378464937210083	265	
10.418566226959229	265	
10.458340167999268	265	
10.498332023620605	264	
10.538315057754517	266	
10.578526973724365	265	
10.618158102035522	265	
10.658178091049194	265	
10.698162078857422	265	
10.737963914871216	264	
10.778258085250854	265	
10.817972898483276	265	
10.857825994491577	266	
10.89793610572815	265	
10.938016891479492	265	
10.977915048599243	265	
11.017747163772583	265	
11.05774211883545	265	
11.097826957702637	265	
11.13758111000061	265	
11.177772998809814	264	
11.217640161514282	264	
11.257603168487549	265	
11.297665119171143	265	
11.337592124938965	265	
11.377475023269653	264	
11.417624950408936	265	
11.457722187042236	265	
11.497493028640747	264	
11.537424087524414	264	
11.57745885848999	265	
11.617281913757324	265	
11.657258987426758	265	
11.696997165679932	266	
11.73720383644104	265	
11.777456045150757	264	
11.817283153533936	264	
11.856958866119385	264	
11.897109031677246	264	
11.937095165252686	264	
11.97704815864563	266	
12.016751050949097	265	
12.056900024414062	264	
12.097259998321533	264	
12.136665105819702	265	
12.176695108413696	265	
12.216653108596802	265	
12.256521940231323	264	
12.296735048294067	265	
12.336530208587646	264	
12.376679182052612	265	
12.4167160987854	264	
12.456377029418945	263	
12.496540069580078	264	
12.536532878875732	264	
12.576390027999878	265	
12.61630892753601	265	
12.656332969665527	264	
12.696420192718506	264	
12.73619294166565	264	
12.776351928710938	265	
12.816890001296997	264	
12.856491088867188	265	
12.89621114730835	265	
12.93619704246521	263	
12.97586703300476	265	
13.016306161880493	263	
13.056065082550049	265	
13.09617805480957	264	
13.136027097702026	264	
13.175884008407593	264	
13.21583604812622	265	
13.255773067474365	265	
13.29562497138977	265	
13.33601999282837	265	
13.375776052474976	263	
13.41575813293457	265	
13.45543122291565	265	
13.495651960372925	264	
13.535528898239136	264	
13.575639009475708	265	
13.615312099456787	265	
13.65536618232727	265	
13.695487976074219	264	
13.735366106033325	263	
13.775284051895142	264	
13.815233945846558	264	
13.855134963989258	264	
13.895465850830078	261	
13.935181140899658	264	
13.975130081176758	264	
14.01511287689209	264	
14.055155992507935	266	
14.09492802619934	264	
14.135183095932007	265	
14.17494511604309	265	
14.215002059936523	265	
14.254992008209229	264	
14.294780254364014	264	
14.334864139556885	264	
14.374823093414307	264	
14.414718866348267	264	
14.454469203948975	264	
14.494940042495728	264	
14.534682035446167	263	
14.5745689868927	264	
14.614527940750122	265	
14.654569864273071	264	
14.694525241851807	263	
14.734374046325684	264	
14.774432897567749	265	
14.814397096633911	264	
14.85432505607605	264	
14.894184827804565	264	
14.934387922286987	264	
14.97426700592041	264	
15.014057874679565	264	
15.054115056991577	263	
15.094171047210693	264	
15.133893013000488	264	
15.173838138580322	264	
15.214096069335938	265	
15.253939867019653	264	
15.29394006729126	265	
15.334030151367188	265	
15.373864889144897	263	
15.413864135742188	266	
15.453792095184326	264	
15.49376106262207	265	
15.533854007720947	264	
15.573582172393799	264	
15.613818168640137	264	
15.653536081314087	264	
15.693560123443604	264	
15.733417987823486	264	
15.773661851882935	263	
15.813284158706665	264	
15.853111028671265	265	
15.893197059631348	264	
15.933703184127808	264	
15.97312617301941	264	
16.013230085372925	263	
16.053184986114502	264	
16.09308910369873	264	
16.133038997650146	261	
16.173002004623413	264	
16.213088989257812	264	
16.25297498703003	264	
16.292768001556396	264	
16.332973957061768	263	
16.372965097427368	264	
16.412787914276123	264	
16.452780961990356	263	
16.4928560256958	264	
16.53274893760681	264	
16.572580099105835	264	
16.612369060516357	264	
16.652764081954956	264	
16.69263195991516	264	
16.732396125793457	265	
16.77250099182129	265	
16.81249189376831	268	
16.85243797302246	265	
16.89228892326355	264	
16.932360887527466	264	
16.972313165664673	264	
17.01217818260193	264	
17.05211305618286	265	
17.09266710281372	264	
17.131856203079224	264	
17.172045946121216	264	
17.21200704574585	264	
17.25174903869629	264	
17.292029857635498	265	
17.332087993621826	264	
17.371882915496826	264	
17.41192603111267	264	
17.45179796218872	264	
17.49183988571167	264	
17.5317120552063	264	
17.571556091308594	264	
17.611573934555054	264	
17.65158200263977	264	
17.691514015197754	264	
17.731328010559082	264	
17.771563053131104	263	
17.811506271362305	265	
17.851409196853638	264	
17.891350030899048	264	
17.931370973587036	264	
17.97133994102478	263	
18.01135516166687	265	
18.051427125930786	265	
18.091233015060425	264	
18.130899906158447	263	
18.171030044555664	263	
18.21111011505127	263	
18.251090049743652	264	
18.29073190689087	264	
18.330738067626953	265	
18.37089991569519	265	
18.410813093185425	264	
18.450883150100708	264	
18.490929126739502	264	
18.531189918518066	264	
18.571031093597412	264	
18.610583066940308	264	
18.65060806274414	263	
18.69108510017395	264	
18.730502128601074	264	
18.77026915550232	264	
18.81084418296814	263	
18.850778102874756	263	
18.890215158462524	263	
18.930248260498047	263	
18.970242977142334	263	
19.010318994522095	264	
19.050498962402344	261	
19.09055995941162	263	
19.13019895553589	264	
19.17009210586548	264	
19.210010051727295	264	
19.250086069107056	264	
19.289936065673828	264	
19.329708099365234	264	
19.369843006134033	265	
19.409811973571777	264	
19.44979190826416	264	
19.489789962768555	264	
19.529879093170166	263	
19.569782972335815	264	
19.60959792137146	264	
19.649667024612427	264	
19.689658164978027	264	
19.729811191558838	265	
19.769495964050293	263	
19.809444189071655	264	
19.849496126174927	264	
19.889261960983276	264	
19.92942714691162	263	
19.969340085983276	265	
20.00941014289856	265	
20.049088954925537	264	
20.08927893638611	264	
20.12897825241089	264	
20.169093132019043	263	
