id,eat,wipe,type,write,fold,peg
1,2829.07804,899.665578,2825.275456,241.269559,28396.12371,24970.02475
2,3799.100135,7330.513663,3412.228866,8036.648078,17544.98428,25097.18004
3,2551.106924,153.878291,16314.52949,5852.985366,18637.90945,21200.68139
4,2388.083701,1638.407079,11766.57305,10508.23201,54135.93907,31405.56927
5,3312.539097,11728.85982,6786.216135,3727.240858,33080.95934,21300.12506
