id,eat,wipe,type,write,fold,peg
1,5167.101301,6710.688226,5939.070548,6564.249648,16417.9267,14841.39451
2,3147.48246,23807.49926,7601.21317,4727.532735,16363.65413,15754.96569
3,3644.474787,6672.316353,4711.386534,5538.247938,11071.11086,9995.998122
4,3849.874404,12760.47834,7599.444264,7502.223003,16324.66329,16691.46924
5,6121.833482,13348.94525,14766.02459,6942.076258,20576.31245,12841.48225
