Time	Volt	Leap_angle
0.0	76	30.3831247786
0.0	76	30.3803697931
0.1	78	30.3881209894
0.2	80	30.514554741
0.3	83	30.8007051383
0.4	93	31.123217526
0.5	102	32.1331618084
0.6	109	35.2148587488
0.7	115	38.2233252072
0.8	119	40.7401757146
0.9	127	43.032658956
1.0	136	44.6237873294
1.1	150	45.8437734699
1.2	163	47.626756225
1.3	165	51.0496794867
1.4	166	52.7345961339
1.5	164	54.088804536
1.6	164	54.9442146406
1.7	164	55.435237953
1.8	162	55.9866239465
1.9	158	56.4852635883
2.0	147	56.8445625865
2.1	132	56.9698403469
2.2	116	56.6829410139
2.3	103	55.4278267158
2.4	91	54.4100703743
2.5	84	53.2103218153
2.6	77	52.0913587425
2.7	75	51.2016848315
2.8	73	49.7148998277
2.9	73	47.5862809018
3.0	71	31.5343839341
3.1	72	22.0669712786
3.2	73	18.8636286274
3.3	71	17.1011365526
3.4	71	16.567619973
3.5	73	16.199762379
3.6	79	15.9854120209
3.7	88	15.9551012252
3.8	342	16.8433090696
3.9	116	17.8043617773
4.0	126	19.8110254651
4.1	141	22.0389474944
4.2	146	24.0455804731
4.3	151	27.1496650396
4.4	157	29.3284211843
4.5	161	31.4526939867
4.6	159	33.9258207037
4.7	160	35.5158102751
4.8	160	36.4523094159
4.9	160	36.5006727888
5.0	156	36.1264385421
5.1	141	35.6054503025
5.2	124	35.1024262824
5.3	108	30.7403403056
5.4	94	27.9368695771
5.5	84	25.643665791
5.6	79	25.4351948846
5.7	78	25.2549419316
5.8	78	24.0804566506
5.9	77	22.9292035177
6.0	75	20.014573832
6.1	73	16.9654080554
6.2	73	12.7304071308
6.3	73	9.61118456284
6.4	72	6.09712188782
6.5	73	4.59350359401
6.6	73	3.93372880865
6.7	68	3.36604109422
6.8	71	3.11023884581
6.9	86	3.45150572875
7.0	106	4.75645782153
7.1	128	6.49159690145
7.2	139	10.0668501302
7.3	149	13.2415202431
7.4	153	17.3824398493
7.5	157	19.0342438869
7.6	161	22.0277685605
7.7	165	25.9700286329
7.8	167	28.930056818
7.9	167	31.3481730192
8.0	168	33.3604790348
8.1	168	34.8462146945
8.2	167	35.3274755927
8.3	160	35.6873847089
8.4	140	36.1139190192
8.5	124	35.3492271941
8.6	108	31.4443155074
8.7	97	25.8369760486
8.8	89	22.0617801996
8.9	83	20.7914323284
9.0	78	19.4280926603
9.1	75	18.1989426711
9.2	71	16.7258158456
9.3	73	15.2729553706
9.4	72	14.5750202449
9.5	72	14.0458190907
9.6	71	13.6220386502
9.7	72	13.4500854582
9.8	73	13.2738795585
9.9	80	13.1409238512
10.0	88	13.1057422647
10.1	106	14.0321633384
10.2	115	15.5823436367
10.3	137	17.9000317588
10.4	154	21.6855484065
10.5	161	25.8344840365
10.6	163	30.3334801279
10.7	167	32.8129623372
10.8	167	34.9169253226
10.9	168	35.9906671236
11.0	168	36.6044914953
11.1	166	36.5199705594
11.2	167	35.8955884174
11.3	167	34.9939549115
11.4	157	34.0116777807
11.5	141	33.2428580818
11.6	119	30.6008446858
11.7	105	25.6489602718
11.8	97	21.8886734185
11.9	89	19.0980378781
12.0	83	18.9160233948
12.1	80	22.9053137283
12.2	79	24.6340041164
12.3	77	24.5958452254
12.4	76	24.2835600324
12.5	77	24.4183170142
12.6	77	24.6958147
12.7	80	25.0393609249
12.8	85	25.6505460506
12.9	90	26.0976603362
13.0	100	27.1267549148
13.1	127	31.2162463962
13.2	136	35.7095308776
13.3	141	39.1512202402
13.4	148	41.3048721648
13.5	153	43.1261799879
13.6	159	45.7397451132
13.7	167	48.4872525982
13.8	173	50.8824315763
13.9	175	52.6465452618
14.0	176	54.0032171448
14.1	176	54.8115569422
14.2	172	55.0558328876
14.3	176	55.2072894308
14.4	177	55.7591543406
14.5	180	56.6736553497
14.6	176	57.263372701
14.7	175	57.8545053081
14.8	155	58.4485226186
14.9	132	58.4009491722
15.0	109	55.6636511046
15.1	95	53.2874429786
15.2	88	51.795129291
15.3	81	51.6593556331
15.4	77	51.6336530619
15.5	76	51.9493312363
15.6	76	52.3501299461
15.7	76	52.9226845904
15.8	76	53.3925490081
15.9	77	53.8084376412
16.0	80	54.1862016592
16.1	79	54.5411448281
16.2	86	56.5315821334
16.3	90	58.2263247453
16.4	97	59.390944622
16.5	108	60.6626987688
16.6	119	61.6116836083
16.7	136	62.6330383302
16.8	147	63.0464969555
16.9	162	64.1405689322
17.0	163	64.9066648468
17.1	163	66.1383190916
17.2	163	66.736099556
17.3	164	66.8656265842
17.4	164	67.1180590559
17.5	156	67.496337134
17.6	138	67.7153246636
17.7	124	67.7010481037
17.8	109	67.2388115562
17.9	97	65.6977059516
18.0	91	62.8790378461
18.1	88	61.1667109131
18.2	85	60.0904640438
18.3	84	59.7098442479
18.4	82	59.3337371081
18.5	80	58.9183415761
18.6	80	58.0701033577
18.7	78	57.712163602
18.8	78	57.4258504423
18.9	80	57.2094360856
19.0	87	57.2064176584
19.1	92	57.5726164461
19.2	100	58.3569858725
19.3	114	59.0100396868
19.4	135	60.036077632
19.5	150	60.925826632
19.6	164	62.2372933094
19.7	167	63.3861499144
19.8	166	64.6882939195
19.9	166	65.8866107943
20.0	167	66.2684832076
20.1	166	66.623141412
20.2	166	66.7712051221
20.3	161	66.9452754782
20.4	129	67.1788460684
20.5	91	67.1905704548
20.6	78	65.3332483871
20.7	75	61.8333696372
20.8	74	58.3865416684
20.9	71	55.2755072457
21.0	72	51.7746133456
21.1	70	46.1265083679
21.2	67	37.9622344185
21.3	66	28.6618070168
21.4	66	16.5008873357
21.5	66	7.89190106626
21.6	68	4.70286297363
21.7	71	3.12192424667
21.8	67	2.70855510019
21.9	76	2.83621078234
22.0	87	4.54657037083
22.1	101	6.18465921875
22.2	131	7.62923172193
22.3	153	12.1184866422
22.4	164	15.8252926441
22.5	165	19.576625923
22.6	164	24.0718090438
22.7	164	27.25542645
22.8	163	28.8826079852
22.9	164	30.2878790872
23.0	164	31.7030918654
23.1	160	32.4306689977
23.2	132	33.1803899887
23.3	104	33.4655607078
23.4	87	30.7634561751
23.5	81	26.206051884
23.6	77	22.0200639753
